station_pincode,station_zone,city,state
491283,CENTRAL,Kanpur,Madhya Pradesh
491285,EAST,Nagpur,Maharashtra
491287,WEST,Indore,Manipur
491289,SOUTH,Thane,Meghalaya
491291,NORTH,Bhopal,Mizoram
491293,CENTRAL,Visakhapatnam,Nagaland
491295,EAST,Vadodara,Odisha
491297,WEST,Firozabad,Punjab
491299,SOUTH,Ludhiana,Rajasthan
491301,NORTH,Rajkot,Sikkim
491303,CENTRAL,Agra,Tamil Nadu
491305,EAST,Siliguri,Telangana
491307,WEST,Nashik,Tripura
491309,SOUTH,Faridabad,Uttar Pradesh
491311,NORTH,Patna,Uttarakhand
491313,CENTRAL,Meerut,West Bengal
491315,EAST,Kalyan-Dombivli,Andaman and Nicobar Islands
491317,WEST,Vasai-Virar,Chandigarh
491319,SOUTH,Varanasi,Dadra and Nagar Haveli and Daman and Diu
491321,NORTH,Srinagar,Lakshadweep
491323,CENTRAL,Dhanbad,Delhi
491325,EAST,Jodhpur,Puducherry
491327,WEST,Amritsar,Ladakh
491329,SOUTH,Raipur,Jammu and Kashmir
491331,NORTH,Allahabad,Maharashtra
491333,CENTRAL,Coimbatore,Delhi
491335,EAST,Jabalpur,Karnataka
491337,WEST,Gwalior,Andhra Pradesh
491339,SOUTH,Vijayawada,Arunachal Pradesh
491341,NORTH,Madurai,Assam
491343,CENTRAL,Guwahati,Bihar
491345,EAST,Chandigarh,Chhattisgarh
491347,WEST,Hubli-Dharwad,Goa
491349,SOUTH,Amroha,Gujarat
491351,NORTH,Moradabad,Haryana
491353,CENTRAL,Gurgaon,Himachal Pradesh
491355,EAST,Aligarh,Jharkhand
491357,WEST,Solapur,Karnataka
491359,SOUTH,Ranchi,Kerala
491361,NORTH,Jalandhar,Madhya Pradesh
491363,CENTRAL,Tiruchirappalli,Maharashtra
491365,EAST,Bhubaneswar,Manipur
491367,WEST,Salem,Meghalaya
491369,SOUTH,Mysore,Mizoram
491371,NORTH,Thiruvananthapuram,Nagaland
491373,CENTRAL,Tiruppur,Odisha
491375,EAST,Gwalior,Punjab
491377,WEST,Chandrapur,Rajasthan
491379,SOUTH,Mumbai,Sikkim
491381,NORTH,Delhi,Tamil Nadu
491383,CENTRAL,Bangalore,Telangana
491385,EAST,Hyderabad,Tripura
491387,WEST,Ahmedabad,Uttar Pradesh
491389,SOUTH,Chennai,Uttarakhand
491391,NORTH,Kolkata,West Bengal
491393,CENTRAL,Surat,Andaman and Nicobar Islands
491395,EAST,Pune,Chandigarh
491397,WEST,Jaipur,Dadra and Nagar Haveli and Daman and Diu
491399,SOUTH,Lucknow,Lakshadweep
491401,NORTH,Kanpur,Delhi
491403,CENTRAL,Nagpur,Puducherry
491405,EAST,Indore,Ladakh
491407,WEST,Thane,Jammu and Kashmir
491409,SOUTH,Bhopal,Maharashtra
491411,NORTH,Visakhapatnam,Delhi
491413,CENTRAL,Vadodara,Karnataka
491415,EAST,Firozabad,Andhra Pradesh
491417,WEST,Ludhiana,Arunachal Pradesh
491419,SOUTH,Rajkot,Assam
491421,NORTH,Agra,Bihar
491423,CENTRAL,Siliguri,Chhattisgarh
491425,EAST,Nashik,Goa
491427,WEST,Faridabad,Gujarat
491429,SOUTH,Patna,Haryana
491431,NORTH,Meerut,Himachal Pradesh
491433,CENTRAL,Kalyan-Dombivli,Jharkhand
491435,EAST,Vasai-Virar,Karnataka
491437,WEST,Varanasi,Kerala
491439,SOUTH,Srinagar,Madhya Pradesh
491441,NORTH,Dhanbad,Maharashtra
491443,CENTRAL,Jodhpur,Manipur
491445,EAST,Amritsar,Meghalaya
491447,WEST,Raipur,Mizoram
491449,SOUTH,Allahabad,Nagaland
491451,NORTH,Coimbatore,Odisha
491453,CENTRAL,Jabalpur,Punjab
491455,EAST,Gwalior,Rajasthan
491457,WEST,Vijayawada,Sikkim
491459,SOUTH,Madurai,Tamil Nadu
491461,NORTH,Guwahati,Telangana
491463,CENTRAL,Chandigarh,Tripura
491465,EAST,Hubli-Dharwad,Uttar Pradesh
491467,WEST,Amroha,Uttarakhand
491469,SOUTH,Moradabad,West Bengal
491471,NORTH,Gurgaon,Andaman and Nicobar Islands
491473,CENTRAL,Aligarh,Chandigarh
491475,EAST,Solapur,Dadra and Nagar Haveli and Daman and Diu
491477,WEST,Ranchi,Lakshadweep
491479,SOUTH,Jalandhar,Delhi
491481,NORTH,Tiruchirappalli,Puducherry
491483,CENTRAL,Bhubaneswar,Ladakh
491485,EAST,Salem,Jammu and Kashmir
491487,WEST,Mysore,Maharashtra
491489,SOUTH,Thiruvananthapuram,Delhi
491491,NORTH,Tiruppur,Karnataka
491493,CENTRAL,Gwalior,Andhra Pradesh
491495,EAST,Chandrapur,Arunachal Pradesh
491497,WEST,Mumbai,Assam
491499,SOUTH,Delhi,Bihar
491501,NORTH,Bangalore,Chhattisgarh
491503,CENTRAL,Hyderabad,Goa
491505,EAST,Ahmedabad,Gujarat
491507,WEST,Chennai,Haryana
491509,SOUTH,Kolkata,Himachal Pradesh
491511,NORTH,Surat,Jharkhand
491513,CENTRAL,Pune,Karnataka
491515,EAST,Jaipur,Kerala
491517,WEST,Lucknow,Madhya Pradesh
491519,SOUTH,Kanpur,Maharashtra
491521,NORTH,Nagpur,Manipur
491523,CENTRAL,Indore,Meghalaya
491525,EAST,Thane,Mizoram
491527,WEST,Bhopal,Nagaland
491529,SOUTH,Visakhapatnam,Odisha
491531,NORTH,Vadodara,Punjab
491533,CENTRAL,Firozabad,Rajasthan
491535,EAST,Ludhiana,Sikkim
491537,WEST,Rajkot,Tamil Nadu
491539,SOUTH,Agra,Telangana
491541,NORTH,Siliguri,Tripura
491543,CENTRAL,Nashik,Uttar Pradesh
491545,EAST,Faridabad,Uttarakhand
491547,WEST,Patna,West Bengal
491549,SOUTH,Meerut,Andaman and Nicobar Islands
491551,NORTH,Kalyan-Dombivli,Chandigarh
491553,CENTRAL,Vasai-Virar,Dadra and Nagar Haveli and Daman and Diu
491555,EAST,Varanasi,Lakshadweep
491557,WEST,Srinagar,Delhi
491559,SOUTH,Dhanbad,Puducherry
491561,NORTH,Jodhpur,Ladakh
491563,CENTRAL,Amritsar,Jammu and Kashmir
491565,EAST,Raipur,Maharashtra
491567,WEST,Allahabad,Delhi
491569,SOUTH,Coimbatore,Karnataka
491571,NORTH,Jabalpur,Andhra Pradesh
491573,CENTRAL,Gwalior,Arunachal Pradesh
491575,EAST,Vijayawada,Assam
491577,WEST,Madurai,Bihar
491579,SOUTH,Guwahati,Chhattisgarh
491581,NORTH,Chandigarh,Goa
491583,CENTRAL,Hubli-Dharwad,Gujarat
491585,EAST,Amroha,Haryana
491587,WEST,Moradabad,Himachal Pradesh
491589,SOUTH,Gurgaon,Jharkhand
491591,NORTH,Aligarh,Karnataka
491593,CENTRAL,Solapur,Kerala
491595,EAST,Ranchi,Madhya Pradesh
491597,WEST,Jalandhar,Maharashtra
491599,SOUTH,Tiruchirappalli,Manipur
491601,NORTH,Bhubaneswar,Meghalaya
491603,CENTRAL,Salem,Mizoram
491605,EAST,Mysore,Nagaland
491607,WEST,Thiruvananthapuram,Odisha
491609,SOUTH,Tiruppur,Punjab
491611,NORTH,Gwalior,Rajasthan
491613,CENTRAL,Chandrapur,Sikkim
491615,EAST,Mumbai,Tamil Nadu
491617,WEST,Delhi,Telangana
491619,SOUTH,Bangalore,Tripura
491621,NORTH,Hyderabad,Uttar Pradesh
491623,CENTRAL,Ahmedabad,Uttarakhand
491625,EAST,Chennai,West Bengal
491627,WEST,Kolkata,Andaman and Nicobar Islands
491629,SOUTH,Surat,Chandigarh
491631,NORTH,Pune,Dadra and Nagar Haveli and Daman and Diu
491633,CENTRAL,Jaipur,Lakshadweep
491635,EAST,Lucknow,Delhi
491637,WEST,Kanpur,Puducherry
491639,SOUTH,Nagpur,Ladakh
491641,NORTH,Indore,Jammu and Kashmir
491643,CENTRAL,Thane,Maharashtra
491645,EAST,Bhopal,Delhi
491647,WEST,Visakhapatnam,Karnataka
491649,SOUTH,Vadodara,Andhra Pradesh
491651,NORTH,Firozabad,Arunachal Pradesh
491653,CENTRAL,Ludhiana,Assam
491655,EAST,Rajkot,Bihar
491657,WEST,Agra,Chhattisgarh
491659,SOUTH,Siliguri,Goa
491661,NORTH,Nashik,Gujarat
491663,CENTRAL,Faridabad,Haryana
491665,EAST,Patna,Himachal Pradesh
491667,WEST,Meerut,Jharkhand
491669,SOUTH,Kalyan-Dombivli,Karnataka
491671,NORTH,Vasai-Virar,Kerala
491673,CENTRAL,Varanasi,Madhya Pradesh
491675,EAST,Srinagar,Maharashtra
491677,WEST,Dhanbad,Manipur
491679,SOUTH,Jodhpur,Meghalaya
491681,NORTH,Amritsar,Mizoram
491683,CENTRAL,Raipur,Nagaland
491685,EAST,Allahabad,Odisha
491687,WEST,Coimbatore,Punjab
491689,SOUTH,Jabalpur,Rajasthan
491691,NORTH,Gwalior,Sikkim
491693,CENTRAL,Vijayawada,Tamil Nadu
491695,EAST,Madurai,Telangana
491697,WEST,Guwahati,Tripura
491699,SOUTH,Chandigarh,Uttar Pradesh
491701,NORTH,Hubli-Dharwad,Uttarakhand
491703,CENTRAL,Amroha,West Bengal
491705,EAST,Moradabad,Andaman and Nicobar Islands
491707,WEST,Gurgaon,Chandigarh
491709,SOUTH,Aligarh,Dadra and Nagar Haveli and Daman and Diu
491711,NORTH,Solapur,Lakshadweep
491713,CENTRAL,Ranchi,Delhi
491715,EAST,Jalandhar,Puducherry
491717,WEST,Tiruchirappalli,Ladakh
491719,SOUTH,Bhubaneswar,Jammu and Kashmir
491721,NORTH,Salem,Maharashtra
491723,CENTRAL,Mysore,Delhi
491725,EAST,Thiruvananthapuram,Karnataka
491727,WEST,Tiruppur,Andhra Pradesh
491729,SOUTH,Gwalior,Arunachal Pradesh
491731,NORTH,Chandrapur,Assam
491733,CENTRAL,Mumbai,Bihar
491735,EAST,Delhi,Chhattisgarh
491737,WEST,Bangalore,Goa
491739,SOUTH,Hyderabad,Gujarat
491741,NORTH,Ahmedabad,Haryana
491743,CENTRAL,Chennai,Himachal Pradesh
491745,EAST,Kolkata,Jharkhand
491747,WEST,Surat,Karnataka
491749,SOUTH,Pune,Kerala
491751,NORTH,Jaipur,Madhya Pradesh
491753,CENTRAL,Lucknow,Maharashtra
491755,EAST,Kanpur,Manipur
491757,WEST,Nagpur,Meghalaya
491759,SOUTH,Indore,Mizoram
491761,NORTH,Thane,Nagaland
491763,CENTRAL,Bhopal,Odisha
491765,EAST,Visakhapatnam,Punjab
491767,WEST,Vadodara,Rajasthan
491769,SOUTH,Firozabad,Sikkim
491771,NORTH,Ludhiana,Tamil Nadu
491773,CENTRAL,Rajkot,Telangana
491775,EAST,Agra,Tripura
491777,WEST,Siliguri,Uttar Pradesh
491779,SOUTH,Nashik,Uttarakhand
491781,NORTH,Faridabad,West Bengal
491783,CENTRAL,Patna,Andaman and Nicobar Islands
491785,EAST,Meerut,Chandigarh
491787,WEST,Kalyan-Dombivli,Dadra and Nagar Haveli and Daman and Diu
491789,SOUTH,Vasai-Virar,Lakshadweep
491791,NORTH,Varanasi,Delhi
491793,CENTRAL,Srinagar,Puducherry
491795,EAST,Dhanbad,Ladakh
491797,WEST,Jodhpur,Jammu and Kashmir
491799,SOUTH,Amritsar,Maharashtra
491801,NORTH,Raipur,Delhi
491803,CENTRAL,Allahabad,Karnataka
491805,EAST,Coimbatore,Andhra Pradesh
491807,WEST,Jabalpur,Arunachal Pradesh
491809,SOUTH,Gwalior,Assam
491811,NORTH,Vijayawada,Bihar
491813,CENTRAL,Madurai,Chhattisgarh
491815,EAST,Guwahati,Goa
491817,WEST,Chandigarh,Gujarat
491819,SOUTH,Hubli-Dharwad,Haryana
491821,NORTH,Amroha,Himachal Pradesh
491823,CENTRAL,Moradabad,Jharkhand
491825,EAST,Gurgaon,Karnataka
491827,WEST,Aligarh,Kerala
491829,SOUTH,Solapur,Madhya Pradesh
491831,NORTH,Ranchi,Maharashtra
491833,CENTRAL,Jalandhar,Manipur
491835,EAST,Tiruchirappalli,Meghalaya
491837,WEST,Bhubaneswar,Mizoram
491839,SOUTH,Salem,Nagaland
491841,NORTH,Mysore,Odisha
491843,CENTRAL,Thiruvananthapuram,Punjab
491845,EAST,Tiruppur,Rajasthan
491847,WEST,Gwalior,Sikkim
491849,SOUTH,Chandrapur,Tamil Nadu
491851,NORTH,Mumbai,Telangana
491853,CENTRAL,Delhi,Tripura
491855,EAST,Bangalore,Uttar Pradesh
491857,WEST,Hyderabad,Uttarakhand
491859,SOUTH,Ahmedabad,West Bengal
491861,NORTH,Chennai,Andaman and Nicobar Islands
491863,CENTRAL,Kolkata,Chandigarh
491865,EAST,Surat,Dadra and Nagar Haveli and Daman and Diu
491867,WEST,Pune,Lakshadweep
491869,SOUTH,Jaipur,Delhi
491871,NORTH,Lucknow,Puducherry
491873,CENTRAL,Kanpur,Ladakh
491875,EAST,Nagpur,Jammu and Kashmir
491877,WEST,Indore,Maharashtra
491879,SOUTH,Thane,Delhi
491881,NORTH,Bhopal,Karnataka
491883,CENTRAL,Visakhapatnam,Andhra Pradesh
491885,EAST,Vadodara,Arunachal Pradesh
491887,WEST,Firozabad,Assam
491889,SOUTH,Ludhiana,Bihar
491891,NORTH,Rajkot,Chhattisgarh
491893,CENTRAL,Agra,Goa
491895,EAST,Siliguri,Gujarat
491897,WEST,Nashik,Haryana
491899,SOUTH,Faridabad,Himachal Pradesh
491901,NORTH,Patna,Jharkhand
491903,CENTRAL,Meerut,Karnataka
491905,EAST,Kalyan-Dombivli,Kerala
491907,WEST,Vasai-Virar,Madhya Pradesh
491909,SOUTH,Varanasi,Maharashtra
491911,NORTH,Srinagar,Manipur
491913,CENTRAL,Dhanbad,Meghalaya
491915,EAST,Jodhpur,Mizoram
491917,WEST,Amritsar,Nagaland
491919,SOUTH,Raipur,Odisha
491921,NORTH,Allahabad,Punjab
491923,CENTRAL,Coimbatore,Rajasthan
491925,EAST,Jabalpur,Sikkim
491927,WEST,Gwalior,Tamil Nadu
491929,SOUTH,Vijayawada,Telangana
491931,NORTH,Madurai,Tripura
491933,CENTRAL,Guwahati,Uttar Pradesh
491935,EAST,Chandigarh,Uttarakhand
491937,WEST,Hubli-Dharwad,West Bengal
491939,SOUTH,Amroha,Andaman and Nicobar Islands
491941,NORTH,Moradabad,Chandigarh
491943,CENTRAL,Gurgaon,Dadra and Nagar Haveli and Daman and Diu
491945,EAST,Aligarh,Lakshadweep
491947,WEST,Solapur,Delhi
491949,SOUTH,Ranchi,Puducherry
491951,NORTH,Jalandhar,Ladakh
491953,CENTRAL,Tiruchirappalli,Jammu and Kashmir
491955,EAST,Bhubaneswar,Maharashtra
491957,WEST,Salem,Delhi
491959,SOUTH,Mysore,Karnataka
491961,NORTH,Thiruvananthapuram,Andhra Pradesh
491963,CENTRAL,Tiruppur,Arunachal Pradesh
491965,EAST,Gwalior,Assam
491967,WEST,Chandrapur,Bihar
491969,SOUTH,Mumbai,Chhattisgarh
491971,NORTH,Delhi,Goa
491973,CENTRAL,Bangalore,Gujarat
491975,EAST,Hyderabad,Haryana
491977,WEST,Ahmedabad,Himachal Pradesh
491979,SOUTH,Chennai,Jharkhand
491981,NORTH,Kolkata,Karnataka
491983,CENTRAL,Surat,Kerala
491985,EAST,Pune,Madhya Pradesh
491987,WEST,Jaipur,Maharashtra
491989,SOUTH,Lucknow,Manipur
491991,NORTH,Kanpur,Meghalaya
491993,CENTRAL,Nagpur,Mizoram
491995,EAST,Indore,Nagaland
491997,WEST,Thane,Odisha
491999,SOUTH,Bhopal,Punjab
492001,NORTH,Visakhapatnam,Rajasthan
492003,CENTRAL,Vadodara,Sikkim
492005,EAST,Firozabad,Tamil Nadu
492007,WEST,Ludhiana,Telangana
492009,SOUTH,Rajkot,Tripura
492011,NORTH,Agra,Uttar Pradesh
492013,CENTRAL,Siliguri,Uttarakhand
492015,EAST,Nashik,West Bengal
492017,WEST,Faridabad,Andaman and Nicobar Islands
492019,SOUTH,Patna,Chandigarh
492021,NORTH,Meerut,Dadra and Nagar Haveli and Daman and Diu
492023,CENTRAL,Kalyan-Dombivli,Lakshadweep
492025,EAST,Vasai-Virar,Delhi
492027,WEST,Varanasi,Puducherry
492029,SOUTH,Srinagar,Ladakh
492031,NORTH,Dhanbad,Jammu and Kashmir
492033,CENTRAL,Jodhpur,Maharashtra
492035,EAST,Amritsar,Delhi
492037,WEST,Raipur,Karnataka
492039,SOUTH,Allahabad,Andhra Pradesh
492041,NORTH,Coimbatore,Arunachal Pradesh
492043,CENTRAL,Jabalpur,Assam
492045,EAST,Gwalior,Bihar
492047,WEST,Vijayawada,Chhattisgarh
492049,SOUTH,Madurai,Goa
492051,NORTH,Guwahati,Gujarat
492053,CENTRAL,Chandigarh,Haryana
492055,EAST,Hubli-Dharwad,Himachal Pradesh
492057,WEST,Amroha,Jharkhand
492059,SOUTH,Moradabad,Karnataka
492061,NORTH,Gurgaon,Kerala
492063,CENTRAL,Aligarh,Madhya Pradesh
492065,EAST,Solapur,Maharashtra
492067,WEST,Ranchi,Manipur
492069,SOUTH,Jalandhar,Meghalaya
492071,NORTH,Tiruchirappalli,Mizoram
492073,CENTRAL,Bhubaneswar,Nagaland
492075,EAST,Salem,Odisha
492077,WEST,Mysore,Punjab
492079,SOUTH,Thiruvananthapuram,Rajasthan
492081,NORTH,Tiruppur,Sikkim
492083,CENTRAL,Gwalior,Tamil Nadu
492085,EAST,Chandrapur,Telangana
492087,WEST,Mumbai,Tripura
492089,SOUTH,Delhi,Uttar Pradesh
492091,NORTH,Bangalore,Uttarakhand
492093,CENTRAL,Hyderabad,West Bengal
492095,EAST,Ahmedabad,Andaman and Nicobar Islands
492097,WEST,Chennai,Chandigarh
492099,SOUTH,Kolkata,Dadra and Nagar Haveli and Daman and Diu
492101,NORTH,Surat,Lakshadweep
492103,CENTRAL,Pune,Delhi
492105,EAST,Jaipur,Puducherry
492107,WEST,Lucknow,Ladakh
492109,SOUTH,Kanpur,Jammu and Kashmir
492111,NORTH,Nagpur,Maharashtra
492113,CENTRAL,Indore,Delhi
492115,EAST,Thane,Karnataka
492117,WEST,Bhopal,Andhra Pradesh
492119,SOUTH,Visakhapatnam,Arunachal Pradesh
492121,NORTH,Vadodara,Assam
492123,CENTRAL,Firozabad,Bihar
492125,EAST,Ludhiana,Chhattisgarh
492127,WEST,Rajkot,Goa
492129,SOUTH,Agra,Gujarat
492131,NORTH,Siliguri,Haryana
492133,CENTRAL,Nashik,Himachal Pradesh
492135,EAST,Faridabad,Jharkhand
492137,WEST,Patna,Karnataka
492139,SOUTH,Meerut,Kerala
492141,NORTH,Kalyan-Dombivli,Madhya Pradesh
492143,CENTRAL,Vasai-Virar,Maharashtra
492145,EAST,Varanasi,Manipur
492147,WEST,Srinagar,Meghalaya
492149,SOUTH,Dhanbad,Mizoram
492151,NORTH,Jodhpur,Nagaland
492153,CENTRAL,Amritsar,Odisha
492155,EAST,Raipur,Punjab
492157,WEST,Allahabad,Rajasthan
492159,SOUTH,Coimbatore,Sikkim
492161,NORTH,Jabalpur,Tamil Nadu
492163,CENTRAL,Gwalior,Telangana
492165,EAST,Vijayawada,Tripura
492167,WEST,Madurai,Uttar Pradesh
492169,SOUTH,Guwahati,Uttarakhand
492171,NORTH,Chandigarh,West Bengal
492173,CENTRAL,Hubli-Dharwad,Andaman and Nicobar Islands
492175,EAST,Amroha,Chandigarh
492177,WEST,Moradabad,Dadra and Nagar Haveli and Daman and Diu
492179,SOUTH,Gurgaon,Lakshadweep
492181,NORTH,Aligarh,Delhi
492183,CENTRAL,Solapur,Puducherry
492185,EAST,Ranchi,Ladakh
492187,WEST,Jalandhar,Jammu and Kashmir
492189,SOUTH,Tiruchirappalli,Maharashtra
492191,NORTH,Bhubaneswar,Delhi
492193,CENTRAL,Salem,Karnataka
492195,EAST,Mysore,Andhra Pradesh
492197,WEST,Thiruvananthapuram,Arunachal Pradesh
492199,SOUTH,Tiruppur,Assam
492201,NORTH,Gwalior,Bihar
492203,CENTRAL,Chandrapur,Chhattisgarh
492205,EAST,Mumbai,Goa
492207,WEST,Delhi,Gujarat
492209,SOUTH,Bangalore,Haryana
492211,NORTH,Hyderabad,Himachal Pradesh
492213,CENTRAL,Ahmedabad,Jharkhand
492215,EAST,Chennai,Karnataka
492217,WEST,Kolkata,Kerala
492219,SOUTH,Surat,Madhya Pradesh
492221,NORTH,Pune,Maharashtra
492223,CENTRAL,Jaipur,Manipur
492225,EAST,Lucknow,Meghalaya
492227,WEST,Kanpur,Mizoram
492229,SOUTH,Nagpur,Nagaland
492231,NORTH,Indore,Odisha
492233,CENTRAL,Thane,Punjab
492235,EAST,Bhopal,Rajasthan
492237,WEST,Visakhapatnam,Sikkim
492239,SOUTH,Vadodara,Tamil Nadu
492241,NORTH,Firozabad,Telangana
492243,CENTRAL,Ludhiana,Tripura
492245,EAST,Rajkot,Uttar Pradesh
492247,WEST,Agra,Uttarakhand
492249,SOUTH,Siliguri,West Bengal
492251,NORTH,Nashik,Andaman and Nicobar Islands
492253,CENTRAL,Faridabad,Chandigarh
492255,EAST,Patna,Dadra and Nagar Haveli and Daman and Diu
492257,WEST,Meerut,Lakshadweep
492259,SOUTH,Kalyan-Dombivli,Delhi
492261,NORTH,Vasai-Virar,Puducherry
492263,CENTRAL,Varanasi,Ladakh
492265,EAST,Srinagar,Jammu and Kashmir
492267,WEST,Dhanbad,Maharashtra
492269,SOUTH,Jodhpur,Delhi
492271,NORTH,Amritsar,Karnataka
492273,CENTRAL,Raipur,Andhra Pradesh
492275,EAST,Allahabad,Arunachal Pradesh
492277,WEST,Coimbatore,Assam
492279,SOUTH,Jabalpur,Bihar
492281,NORTH,Gwalior,Chhattisgarh
492283,CENTRAL,Vijayawada,Goa
492285,EAST,Madurai,Gujarat
492287,WEST,Guwahati,Haryana
492289,SOUTH,Chandigarh,Himachal Pradesh
492291,NORTH,Hubli-Dharwad,Jharkhand
492293,CENTRAL,Amroha,Karnataka
492295,EAST,Moradabad,Kerala
492297,WEST,Gurgaon,Madhya Pradesh
492299,SOUTH,Aligarh,Maharashtra
492301,NORTH,Solapur,Manipur
492303,CENTRAL,Ranchi,Meghalaya
492305,EAST,Jalandhar,Mizoram
492307,WEST,Tiruchirappalli,Nagaland
492309,SOUTH,Bhubaneswar,Odisha
492311,NORTH,Salem,Punjab
492313,CENTRAL,Mysore,Rajasthan
492315,EAST,Thiruvananthapuram,Sikkim
492317,WEST,Tiruppur,Tamil Nadu
492319,SOUTH,Gwalior,Telangana
492321,NORTH,Chandrapur,Tripura
492323,CENTRAL,Mumbai,Uttar Pradesh
492325,EAST,Delhi,Uttarakhand
492327,WEST,Bangalore,West Bengal
492329,SOUTH,Hyderabad,Andaman and Nicobar Islands
492331,NORTH,Ahmedabad,Chandigarh
492333,CENTRAL,Chennai,Dadra and Nagar Haveli and Daman and Diu
492335,EAST,Kolkata,Lakshadweep
492337,WEST,Surat,Delhi
492339,SOUTH,Pune,Puducherry
492341,NORTH,Jaipur,Ladakh
492343,CENTRAL,Lucknow,Jammu and Kashmir
492345,EAST,Kanpur,Maharashtra
492347,WEST,Nagpur,Delhi
492349,SOUTH,Indore,Karnataka
492351,NORTH,Thane,Andhra Pradesh
492353,CENTRAL,Bhopal,Arunachal Pradesh
492355,EAST,Visakhapatnam,Assam
492357,WEST,Vadodara,Bihar
492359,SOUTH,Firozabad,Chhattisgarh
492361,NORTH,Ludhiana,Goa
492363,CENTRAL,Rajkot,Gujarat
492365,EAST,Agra,Haryana
492367,WEST,Siliguri,Himachal Pradesh
492369,SOUTH,Nashik,Jharkhand
492371,NORTH,Faridabad,Karnataka
492373,CENTRAL,Patna,Kerala
492375,EAST,Meerut,Madhya Pradesh
492377,WEST,Kalyan-Dombivli,Maharashtra
492379,SOUTH,Vasai-Virar,Manipur
492381,NORTH,Varanasi,Meghalaya
492383,CENTRAL,Srinagar,Mizoram
492385,EAST,Dhanbad,Nagaland
492387,WEST,Jodhpur,Odisha
492389,SOUTH,Amritsar,Punjab
492391,NORTH,Raipur,Rajasthan
492393,CENTRAL,Allahabad,Sikkim
492395,EAST,Coimbatore,Tamil Nadu
492397,WEST,Jabalpur,Telangana
492399,SOUTH,Gwalior,Tripura
492401,NORTH,Vijayawada,Uttar Pradesh
492403,CENTRAL,Madurai,Uttarakhand
492405,EAST,Guwahati,West Bengal
492407,WEST,Chandigarh,Andaman and Nicobar Islands
492409,SOUTH,Hubli-Dharwad,Chandigarh
492411,NORTH,Amroha,Dadra and Nagar Haveli and Daman and Diu
492413,CENTRAL,Moradabad,Lakshadweep
492415,EAST,Gurgaon,Delhi
492417,WEST,Aligarh,Puducherry
492419,SOUTH,Solapur,Ladakh
492421,NORTH,Ranchi,Jammu and Kashmir
492423,CENTRAL,Jalandhar,Maharashtra
492425,EAST,Tiruchirappalli,Delhi
492427,WEST,Bhubaneswar,Karnataka
492429,SOUTH,Salem,Andhra Pradesh
492431,NORTH,Mysore,Arunachal Pradesh
492433,CENTRAL,Thiruvananthapuram,Assam
492435,EAST,Tiruppur,Bihar
492437,WEST,Gwalior,Chhattisgarh
492439,SOUTH,Chandrapur,Goa
492441,NORTH,Mumbai,Gujarat
492443,CENTRAL,Delhi,Haryana
492445,EAST,Bangalore,Himachal Pradesh
492447,WEST,Hyderabad,Jharkhand
492449,SOUTH,Ahmedabad,Karnataka
492451,NORTH,Chennai,Kerala
492453,CENTRAL,Kolkata,Madhya Pradesh
492455,EAST,Surat,Maharashtra
492457,WEST,Pune,Manipur
492459,SOUTH,Jaipur,Meghalaya
492461,NORTH,Lucknow,Mizoram
492463,CENTRAL,Kanpur,Nagaland
492465,EAST,Nagpur,Odisha
492467,WEST,Indore,Punjab
492469,SOUTH,Thane,Rajasthan
492471,NORTH,Bhopal,Sikkim
492473,CENTRAL,Visakhapatnam,Tamil Nadu
492475,EAST,Vadodara,Telangana
492477,WEST,Firozabad,Tripura
492479,SOUTH,Ludhiana,Uttar Pradesh
492481,NORTH,Rajkot,Uttarakhand
492483,CENTRAL,Agra,West Bengal
492485,EAST,Siliguri,Andaman and Nicobar Islands
492487,WEST,Nashik,Chandigarh
492489,SOUTH,Faridabad,Dadra and Nagar Haveli and Daman and Diu
492491,NORTH,Patna,Lakshadweep
492493,CENTRAL,Meerut,Delhi
492495,EAST,Kalyan-Dombivli,Puducherry
492497,WEST,Vasai-Virar,Ladakh
492499,SOUTH,Varanasi,Jammu and Kashmir
492501,NORTH,Srinagar,Maharashtra
492503,CENTRAL,Dhanbad,Delhi
492505,EAST,Jodhpur,Karnataka
492507,WEST,Amritsar,Andhra Pradesh
492509,SOUTH,Raipur,Arunachal Pradesh
492511,NORTH,Allahabad,Assam
492513,CENTRAL,Coimbatore,Bihar
492515,EAST,Jabalpur,Chhattisgarh
492517,WEST,Gwalior,Goa
492519,SOUTH,Vijayawada,Gujarat
492521,NORTH,Madurai,Haryana
492523,CENTRAL,Guwahati,Himachal Pradesh
492525,EAST,Chandigarh,Jharkhand
492527,WEST,Hubli-Dharwad,Karnataka
492529,SOUTH,Amroha,Kerala
492531,NORTH,Moradabad,Madhya Pradesh
492533,CENTRAL,Gurgaon,Maharashtra
492535,EAST,Aligarh,Manipur
492537,WEST,Solapur,Meghalaya
492539,SOUTH,Ranchi,Mizoram
492541,NORTH,Jalandhar,Nagaland
492543,CENTRAL,Tiruchirappalli,Odisha
492545,EAST,Bhubaneswar,Punjab
492547,WEST,Salem,Rajasthan
492549,SOUTH,Mysore,Sikkim
492551,NORTH,Thiruvananthapuram,Tamil Nadu
492553,CENTRAL,Tiruppur,Telangana
492555,EAST,Gwalior,Tripura
492557,WEST,Chandrapur,Uttar Pradesh
492559,SOUTH,Mumbai,Uttarakhand
