max_case_type,min_cases_type,no_of_cases,avg_solving_day
claims of negligence,unfair dismissal,5751,4
appeal against HR,discrimination,5753,7
Workplace harassment,appeal against HR,5755,3
Murder,Workplace harassment,5757,9
robbery,Murder,5759,14
dowry demands,theft,5761,8
robbery,cybercrime,5763,5
unfair dismissal,sedition,5765,6
theft,Property dispute,5767,10
cybercrime,marriage affairs,5769,7
sedition,Divorce,5771,11
Property dispute,Fraud,5773,11
Fraud,riots,5775,12
riots,claims of negligence,5777,9
marriage affairs,dowry demands,5779,4
Divorce,robbery,5781,5
claims of negligence,unfair dismissal,5783,11
appeal against HR,discrimination,5785,13
Workplace harassment,appeal against HR,5787,13
Murder,Workplace harassment,5789,11
robbery,Murder,5791,6
dowry demands,theft,5793,10
robbery,cybercrime,5795,12
unfair dismissal,sedition,5797,15
theft,Property dispute,5799,14
cybercrime,marriage affairs,5801,13
sedition,Divorce,5803,14
Property dispute,Fraud,5805,8
Fraud,riots,5807,9
riots,claims of negligence,5809,7
marriage affairs,dowry demands,5811,11
Divorce,robbery,5813,12
claims of negligence,unfair dismissal,5815,4
appeal against HR,discrimination,5817,7
Workplace harassment,appeal against HR,5819,6
Murder,Workplace harassment,5821,7
robbery,Murder,5823,8
dowry demands,theft,5825,6
robbery,cybercrime,5827,10
unfair dismissal,sedition,5829,9
theft,Property dispute,5831,5
cybercrime,marriage affairs,5833,4
sedition,Divorce,5835,9
Property dispute,Fraud,5837,11
Fraud,riots,5839,10
riots,claims of negligence,5841,12
marriage affairs,dowry demands,5843,8
Divorce,robbery,5845,8
claims of negligence,unfair dismissal,5847,9
appeal against HR,discrimination,5849,13
Workplace harassment,appeal against HR,5851,9
Murder,Workplace harassment,5853,4
robbery,Murder,5855,15
dowry demands,theft,5857,13
robbery,cybercrime,5859,9
unfair dismissal,sedition,5861,14
theft,Property dispute,5863,5
cybercrime,marriage affairs,5865,5
sedition,Divorce,5867,3
Property dispute,Fraud,5869,8
Fraud,riots,5871,7
riots,claims of negligence,5873,7
marriage affairs,dowry demands,5875,5
Divorce,robbery,5877,12
claims of negligence,unfair dismissal,5879,9
appeal against HR,discrimination,5881,13
Workplace harassment,appeal against HR,5883,8
Murder,Workplace harassment,5885,4
robbery,Murder,5887,9
dowry demands,theft,5889,3
robbery,cybercrime,5891,13
unfair dismissal,sedition,5893,8
theft,Property dispute,5895,4
cybercrime,marriage affairs,5897,15
sedition,Divorce,5899,12
Property dispute,Fraud,5901,12
Fraud,riots,5903,13
riots,claims of negligence,5905,11
marriage affairs,dowry demands,5907,6
Divorce,robbery,5909,9
claims of negligence,unfair dismissal,5911,3
appeal against HR,discrimination,5913,8
Workplace harassment,appeal against HR,5915,14
Murder,Workplace harassment,5917,5
robbery,Murder,5919,13
dowry demands,theft,5921,11
robbery,cybercrime,5923,4
unfair dismissal,sedition,5925,3
theft,Property dispute,5927,10
cybercrime,marriage affairs,5929,10
sedition,Divorce,5931,13
Property dispute,Fraud,5933,9
Fraud,riots,5935,8
riots,claims of negligence,5937,6
marriage affairs,dowry demands,5939,12
Divorce,robbery,5941,7
claims of negligence,unfair dismissal,5943,14
appeal against HR,discrimination,5945,6
Workplace harassment,appeal against HR,5947,4
Murder,Workplace harassment,5949,4
robbery,Murder,5951,4
dowry demands,theft,5953,15
robbery,cybercrime,5955,14
unfair dismissal,sedition,5957,3
theft,Property dispute,5959,5
cybercrime,marriage affairs,5961,3
sedition,Divorce,5963,6
Property dispute,Fraud,5965,13
Fraud,riots,5967,12
riots,claims of negligence,5969,7
marriage affairs,dowry demands,5971,5
Divorce,robbery,5973,9
claims of negligence,unfair dismissal,5975,9
appeal against HR,discrimination,5977,4
Workplace harassment,appeal against HR,5979,12
Murder,Workplace harassment,5981,4
robbery,Murder,5983,3
dowry demands,theft,5985,5
robbery,cybercrime,5987,13
unfair dismissal,sedition,5989,15
theft,Property dispute,5991,13
cybercrime,marriage affairs,5993,12
sedition,Divorce,5995,6
Property dispute,Fraud,5997,9
Fraud,riots,5999,15
riots,claims of negligence,6001,12
marriage affairs,dowry demands,6003,7
Divorce,robbery,6005,5
claims of negligence,unfair dismissal,6007,6
appeal against HR,discrimination,6009,5
Workplace harassment,appeal against HR,6011,15
Murder,Workplace harassment,6013,8
robbery,Murder,6015,6
dowry demands,theft,6017,11
robbery,cybercrime,6019,15
unfair dismissal,sedition,6021,14
theft,Property dispute,6023,11
cybercrime,marriage affairs,6025,7
sedition,Divorce,6027,11
Property dispute,Fraud,6029,15
Fraud,riots,6031,15
riots,claims of negligence,6033,4
marriage affairs,dowry demands,6035,4
Divorce,robbery,6037,6
claims of negligence,unfair dismissal,6039,4
appeal against HR,discrimination,6041,14
Workplace harassment,appeal against HR,6043,15
Murder,Workplace harassment,6045,5
robbery,Murder,6047,3
dowry demands,theft,6049,15
robbery,cybercrime,6051,8
unfair dismissal,sedition,6053,7
theft,Property dispute,6055,15
cybercrime,marriage affairs,6057,11
sedition,Divorce,6059,6
Property dispute,Fraud,6061,3
Fraud,riots,6063,11
riots,claims of negligence,6065,4
marriage affairs,dowry demands,6067,11
Divorce,robbery,6069,3
claims of negligence,unfair dismissal,6071,12
appeal against HR,discrimination,6073,7
Workplace harassment,appeal against HR,6075,11
Murder,Workplace harassment,6077,8
robbery,Murder,6079,11
dowry demands,theft,6081,4
robbery,cybercrime,6083,3
unfair dismissal,sedition,6085,9
theft,Property dispute,6087,3
cybercrime,marriage affairs,6089,12
sedition,Divorce,6091,8
Property dispute,Fraud,6093,15
Fraud,riots,6095,4
riots,claims of negligence,6097,9
marriage affairs,dowry demands,6099,10
Divorce,robbery,6101,8
claims of negligence,unfair dismissal,6103,6
appeal against HR,discrimination,6105,4
Workplace harassment,appeal against HR,6107,14
Murder,Workplace harassment,6109,8
robbery,Murder,6111,12
dowry demands,theft,6113,6
robbery,cybercrime,6115,14
unfair dismissal,sedition,6117,14
theft,Property dispute,6119,13
cybercrime,marriage affairs,6121,12
sedition,Divorce,6123,13
Property dispute,Fraud,6125,13
Fraud,riots,6127,10
riots,claims of negligence,6129,8
marriage affairs,dowry demands,6131,6
Divorce,robbery,6133,5
claims of negligence,unfair dismissal,6135,5
appeal against HR,discrimination,6137,7
Workplace harassment,appeal against HR,6139,5
Murder,Workplace harassment,6141,5
robbery,Murder,6143,3
dowry demands,theft,6145,12
robbery,cybercrime,6147,5
unfair dismissal,sedition,6149,12
theft,Property dispute,6151,7
cybercrime,marriage affairs,6153,4
sedition,Divorce,6155,4
Property dispute,Fraud,6157,11
Fraud,riots,6159,3
riots,claims of negligence,6161,15
marriage affairs,dowry demands,6163,10
Divorce,robbery,6165,9
claims of negligence,unfair dismissal,6167,6
appeal against HR,discrimination,6169,10
Workplace harassment,appeal against HR,6171,10
Murder,Workplace harassment,6173,4
robbery,Murder,6175,13
dowry demands,theft,6177,15
robbery,cybercrime,6179,4
unfair dismissal,sedition,6181,12
theft,Property dispute,6183,6
cybercrime,marriage affairs,6185,9
sedition,Divorce,6187,3
Property dispute,Fraud,6189,14
Fraud,riots,6191,6
riots,claims of negligence,6193,6
marriage affairs,dowry demands,6195,11
Divorce,robbery,6197,15
claims of negligence,unfair dismissal,6199,5
appeal against HR,discrimination,6201,7
Workplace harassment,appeal against HR,6203,4
Murder,Workplace harassment,6205,7
robbery,Murder,6207,10
dowry demands,theft,6209,8
robbery,cybercrime,6211,5
unfair dismissal,sedition,6213,12
theft,Property dispute,6215,4
cybercrime,marriage affairs,6217,6
sedition,Divorce,6219,3
Property dispute,Fraud,6221,3
Fraud,riots,6223,5
riots,claims of negligence,6225,11
marriage affairs,dowry demands,6227,5
Divorce,robbery,6229,7
claims of negligence,unfair dismissal,6231,10
appeal against HR,discrimination,6233,11
Workplace harassment,appeal against HR,6235,12
Murder,Workplace harassment,6237,14
robbery,Murder,6239,13
dowry demands,theft,6241,12
robbery,cybercrime,6243,15
unfair dismissal,sedition,6245,8
theft,Property dispute,6247,3
cybercrime,marriage affairs,6249,11
sedition,Divorce,6251,15
Property dispute,Fraud,6253,4
Fraud,riots,6255,15
riots,claims of negligence,6257,13
marriage affairs,dowry demands,6259,7
Divorce,robbery,6261,9
claims of negligence,unfair dismissal,6263,8
appeal against HR,discrimination,6265,15
Workplace harassment,appeal against HR,6267,8
Murder,Workplace harassment,6269,6
robbery,Murder,6271,7
dowry demands,theft,6273,4
robbery,cybercrime,6275,10
unfair dismissal,sedition,6277,13
theft,Property dispute,6279,7
cybercrime,marriage affairs,6281,14
sedition,Divorce,6283,11
Property dispute,Fraud,6285,12
Fraud,riots,6287,13
riots,claims of negligence,6289,11
marriage affairs,dowry demands,6291,6
Divorce,robbery,6293,11
claims of negligence,unfair dismissal,6295,14
appeal against HR,discrimination,6297,8
Workplace harassment,appeal against HR,6299,15
Murder,Workplace harassment,6301,13
robbery,Murder,6303,13
dowry demands,theft,6305,4
robbery,cybercrime,6307,4
unfair dismissal,sedition,6309,11
theft,Property dispute,6311,9
cybercrime,marriage affairs,6313,5
sedition,Divorce,6315,14
Property dispute,Fraud,6317,13
Fraud,riots,6319,5
riots,claims of negligence,6321,5
marriage affairs,dowry demands,6323,9
Divorce,robbery,6325,14
claims of negligence,unfair dismissal,6327,8
appeal against HR,discrimination,6329,15
Workplace harassment,appeal against HR,6331,14
Murder,Workplace harassment,6333,5
robbery,Murder,6335,8
dowry demands,theft,6337,7
robbery,cybercrime,6339,14
unfair dismissal,sedition,6341,14
theft,Property dispute,6343,14
cybercrime,marriage affairs,6345,4
sedition,Divorce,6347,8
Property dispute,Fraud,6349,15
Fraud,riots,6351,11
riots,claims of negligence,6353,5
marriage affairs,dowry demands,6355,9
Divorce,robbery,6357,10
claims of negligence,unfair dismissal,6359,8
appeal against HR,discrimination,6361,12
Workplace harassment,appeal against HR,6363,10
Murder,Workplace harassment,6365,9
robbery,Murder,6367,12
dowry demands,theft,6369,3
robbery,cybercrime,6371,12
unfair dismissal,sedition,6373,4
theft,Property dispute,6375,12
cybercrime,marriage affairs,6377,12
sedition,Divorce,6379,10
Property dispute,Fraud,6381,6
Fraud,riots,6383,14
riots,claims of negligence,6385,7
marriage affairs,dowry demands,6387,9
Divorce,robbery,6389,15
claims of negligence,unfair dismissal,6391,5
appeal against HR,discrimination,6393,13
Workplace harassment,appeal against HR,6395,9
Murder,Workplace harassment,6397,14
robbery,Murder,6399,10
dowry demands,theft,6401,5
robbery,cybercrime,6403,8
unfair dismissal,sedition,6405,6
theft,Property dispute,6407,10
cybercrime,marriage affairs,6409,4
sedition,Divorce,6411,10
Property dispute,Fraud,6413,13
Fraud,riots,6415,12
riots,claims of negligence,6417,9
marriage affairs,dowry demands,6419,8
Divorce,robbery,6421,8
claims of negligence,unfair dismissal,6423,7
appeal against HR,discrimination,6425,14
Workplace harassment,appeal against HR,6427,15
Murder,Workplace harassment,6429,7
robbery,Murder,6431,13
dowry demands,theft,6433,7
robbery,cybercrime,6435,5
unfair dismissal,sedition,6437,9
theft,Property dispute,6439,14
cybercrime,marriage affairs,6441,13
sedition,Divorce,6443,10
Property dispute,Fraud,6445,3
Fraud,riots,6447,7
riots,claims of negligence,6449,8
marriage affairs,dowry demands,6451,14
Divorce,robbery,6453,3
claims of negligence,unfair dismissal,6455,3
appeal against HR,discrimination,6457,5
Workplace harassment,appeal against HR,6459,8
Murder,Workplace harassment,6461,12
robbery,Murder,6463,9
dowry demands,theft,6465,8
robbery,cybercrime,6467,8
unfair dismissal,sedition,6469,10
theft,Property dispute,6471,14
cybercrime,marriage affairs,6473,12
sedition,Divorce,6475,8
Property dispute,Fraud,6477,12
Fraud,riots,6479,3
riots,claims of negligence,6481,11
marriage affairs,dowry demands,6483,12
Divorce,robbery,6485,7
claims of negligence,unfair dismissal,6487,6
appeal against HR,discrimination,6489,11
Workplace harassment,appeal against HR,6491,13
Murder,Workplace harassment,6493,5
robbery,Murder,6495,3
dowry demands,theft,6497,5
robbery,cybercrime,6499,12
unfair dismissal,sedition,6501,5
theft,Property dispute,6503,5
cybercrime,marriage affairs,6505,5
sedition,Divorce,6507,4
Property dispute,Fraud,6509,4
Fraud,riots,6511,14
riots,claims of negligence,6513,8
marriage affairs,dowry demands,6515,5
Divorce,robbery,6517,4
claims of negligence,unfair dismissal,6519,5
appeal against HR,discrimination,6521,3
Workplace harassment,appeal against HR,6523,14
Murder,Workplace harassment,6525,7
robbery,Murder,6527,11
dowry demands,theft,6529,10
robbery,cybercrime,6531,13
unfair dismissal,sedition,6533,6
theft,Property dispute,6535,13
cybercrime,marriage affairs,6537,12
sedition,Divorce,6539,12
Property dispute,Fraud,6541,4
Fraud,riots,6543,13
riots,claims of negligence,6545,14
marriage affairs,dowry demands,6547,15
Divorce,robbery,6549,6
claims of negligence,unfair dismissal,6551,3
appeal against HR,discrimination,6553,4
Workplace harassment,appeal against HR,6555,8
Murder,Workplace harassment,6557,12
robbery,Murder,6559,4
dowry demands,theft,6561,11
robbery,cybercrime,6563,5
unfair dismissal,sedition,6565,10
theft,Property dispute,6567,14
cybercrime,marriage affairs,6569,9
sedition,Divorce,6571,10
Property dispute,Fraud,6573,13
Fraud,riots,6575,4
riots,claims of negligence,6577,13
marriage affairs,dowry demands,6579,15
Divorce,robbery,6581,12
claims of negligence,unfair dismissal,6583,7
appeal against HR,discrimination,6585,11
Workplace harassment,appeal against HR,6587,5
Murder,Workplace harassment,6589,13
robbery,Murder,6591,11
dowry demands,theft,6593,7
robbery,cybercrime,6595,8
unfair dismissal,sedition,6597,13
theft,Property dispute,6599,10
cybercrime,marriage affairs,6601,10
sedition,Divorce,6603,15
Property dispute,Fraud,6605,4
Fraud,riots,6607,10
riots,claims of negligence,6609,11
marriage affairs,dowry demands,6611,12
Divorce,robbery,6613,8
claims of negligence,unfair dismissal,6615,10
appeal against HR,discrimination,6617,14
Workplace harassment,appeal against HR,6619,6
Murder,Workplace harassment,6621,7
robbery,Murder,6623,6
dowry demands,theft,6625,10
robbery,cybercrime,6627,6
unfair dismissal,sedition,6629,4
theft,Property dispute,6631,5
cybercrime,marriage affairs,6633,12
sedition,Divorce,6635,6
Property dispute,Fraud,6637,8
Fraud,riots,6639,14
riots,claims of negligence,6641,7
marriage affairs,dowry demands,6643,9
Divorce,robbery,6645,5
claims of negligence,unfair dismissal,6647,5
appeal against HR,discrimination,6649,11
Workplace harassment,appeal against HR,6651,6
Murder,Workplace harassment,6653,7
robbery,Murder,6655,7
dowry demands,theft,6657,14
robbery,cybercrime,6659,6
unfair dismissal,sedition,6661,14
theft,Property dispute,6663,13
cybercrime,marriage affairs,6665,4
sedition,Divorce,6667,8
Property dispute,Fraud,6669,13
Fraud,riots,6671,15
riots,claims of negligence,6673,15
marriage affairs,dowry demands,6675,9
Divorce,robbery,6677,13
claims of negligence,unfair dismissal,6679,3
appeal against HR,discrimination,6681,8
Workplace harassment,appeal against HR,6683,15
Murder,Workplace harassment,6685,14
robbery,Murder,6687,9
dowry demands,theft,6689,3
robbery,cybercrime,6691,14
unfair dismissal,sedition,6693,10
theft,Property dispute,6695,11
cybercrime,marriage affairs,6697,10
sedition,Divorce,6699,14
Property dispute,Fraud,6701,7
Fraud,riots,6703,3
riots,claims of negligence,6705,8
marriage affairs,dowry demands,6707,7
Divorce,robbery,6709,14
claims of negligence,unfair dismissal,6711,6
appeal against HR,discrimination,6713,9
Workplace harassment,appeal against HR,6715,4
Murder,Workplace harassment,6717,3
robbery,Murder,6719,3
dowry demands,theft,6721,5
robbery,cybercrime,6723,10
unfair dismissal,sedition,6725,4
theft,Property dispute,6727,15
cybercrime,marriage affairs,6729,11
sedition,Divorce,6731,12
Property dispute,Fraud,6733,4
Fraud,riots,6735,11
riots,claims of negligence,6737,3
marriage affairs,dowry demands,6739,13
Divorce,robbery,6741,12
claims of negligence,unfair dismissal,6743,11
appeal against HR,discrimination,6745,4
Workplace harassment,appeal against HR,6747,3
Murder,Workplace harassment,6749,14
robbery,Murder,6751,6
dowry demands,theft,6753,6
robbery,cybercrime,6755,6
unfair dismissal,sedition,6757,3
theft,Property dispute,6759,11
cybercrime,marriage affairs,6761,14
sedition,Divorce,6763,9
Property dispute,Fraud,6765,8
Fraud,riots,6767,3
riots,claims of negligence,6769,5
marriage affairs,dowry demands,6771,5
Divorce,robbery,6773,15
claims of negligence,unfair dismissal,6775,6
appeal against HR,discrimination,6777,7
Workplace harassment,appeal against HR,6779,4
Murder,Workplace harassment,6781,8
robbery,Murder,6783,10
dowry demands,theft,6785,4
robbery,cybercrime,6787,12
unfair dismissal,sedition,6789,7
theft,Property dispute,6791,11
cybercrime,marriage affairs,6793,8
sedition,Divorce,6795,10
Property dispute,Fraud,6797,6
Fraud,riots,6799,12
riots,claims of negligence,6801,9
marriage affairs,dowry demands,6803,5
Divorce,robbery,6805,11
claims of negligence,unfair dismissal,6807,11
appeal against HR,discrimination,6809,8
Workplace harassment,appeal against HR,6811,10
Murder,Workplace harassment,6813,3
robbery,Murder,6815,9
dowry demands,theft,6817,11
robbery,cybercrime,6819,8
unfair dismissal,sedition,6821,14
theft,Property dispute,6823,11
cybercrime,marriage affairs,6825,14
sedition,Divorce,6827,15
Property dispute,Fraud,6829,15
Fraud,riots,6831,4
riots,claims of negligence,6833,11
marriage affairs,dowry demands,6835,12
Divorce,robbery,6837,15
claims of negligence,unfair dismissal,6839,8
appeal against HR,discrimination,6841,12
Workplace harassment,appeal against HR,6843,15
Murder,Workplace harassment,6845,5
robbery,Murder,6847,14
dowry demands,theft,6849,4
robbery,cybercrime,6851,15
unfair dismissal,sedition,6853,4
theft,Property dispute,6855,8
cybercrime,marriage affairs,6857,9
sedition,Divorce,6859,3
Property dispute,Fraud,6861,10
Fraud,riots,6863,15
riots,claims of negligence,6865,4
marriage affairs,dowry demands,6867,12
Divorce,robbery,6869,3
claims of negligence,unfair dismissal,6871,3
appeal against HR,discrimination,6873,15
Workplace harassment,appeal against HR,6875,12
Murder,Workplace harassment,6877,11
robbery,Murder,6879,8
dowry demands,theft,6881,9
robbery,cybercrime,6883,14
unfair dismissal,sedition,6885,7
theft,Property dispute,6887,11
cybercrime,marriage affairs,6889,10
sedition,Divorce,6891,10
Property dispute,Fraud,6893,7
Fraud,riots,6895,15
riots,claims of negligence,6897,8
marriage affairs,dowry demands,6899,7
Divorce,robbery,6901,4
claims of negligence,unfair dismissal,6903,11
appeal against HR,discrimination,6905,6
Workplace harassment,appeal against HR,6907,7
Murder,Workplace harassment,6909,8
robbery,Murder,6911,10
dowry demands,theft,6913,4
robbery,cybercrime,6915,4
unfair dismissal,sedition,6917,15
theft,Property dispute,6919,8
cybercrime,marriage affairs,6921,8
sedition,Divorce,6923,6
Property dispute,Fraud,6925,10
Fraud,riots,6927,8
riots,claims of negligence,6929,15
marriage affairs,dowry demands,6931,12
Divorce,robbery,6933,3
claims of negligence,unfair dismissal,6935,15
appeal against HR,discrimination,6937,12
Workplace harassment,appeal against HR,6939,14
Murder,Workplace harassment,6941,10
robbery,Murder,6943,8
dowry demands,theft,6945,9
robbery,cybercrime,6947,14
unfair dismissal,sedition,6949,13
theft,Property dispute,6951,7
cybercrime,marriage affairs,6953,7
sedition,Divorce,6955,5
Property dispute,Fraud,6957,14
Fraud,riots,6959,10
riots,claims of negligence,6961,13
marriage affairs,dowry demands,6963,14
Divorce,robbery,6965,10
claims of negligence,unfair dismissal,6967,14
appeal against HR,discrimination,6969,4
Workplace harassment,appeal against HR,6971,9
Murder,Workplace harassment,6973,11
robbery,Murder,6975,4
dowry demands,theft,6977,13
robbery,cybercrime,6979,11
unfair dismissal,sedition,6981,4
theft,Property dispute,6983,14
cybercrime,marriage affairs,6985,15
sedition,Divorce,6987,9
Property dispute,Fraud,6989,9
Fraud,riots,6991,3
riots,claims of negligence,6993,5
marriage affairs,dowry demands,6995,6
Divorce,robbery,6997,15
claims of negligence,unfair dismissal,6999,3
appeal against HR,discrimination,7001,4
Workplace harassment,appeal against HR,7003,3
Murder,Workplace harassment,7005,7
robbery,Murder,7007,6
dowry demands,theft,7009,15
robbery,cybercrime,7011,6
unfair dismissal,sedition,7013,14
theft,Property dispute,7015,3
cybercrime,marriage affairs,7017,11
sedition,Divorce,7019,8
Property dispute,Fraud,7021,10
Fraud,riots,7023,14
riots,claims of negligence,7025,7
marriage affairs,dowry demands,7027,10
Divorce,robbery,7029,6
claims of negligence,unfair dismissal,7031,8
appeal against HR,discrimination,7033,9
Workplace harassment,appeal against HR,7035,5
Murder,Workplace harassment,7037,11
robbery,Murder,7039,6
dowry demands,theft,7041,4
robbery,cybercrime,7043,8
unfair dismissal,sedition,7045,3
theft,Property dispute,7047,8
cybercrime,marriage affairs,7049,5
sedition,Divorce,7051,9
Property dispute,Fraud,7053,4
Fraud,riots,7055,10
riots,claims of negligence,7057,13
marriage affairs,dowry demands,7059,7
Divorce,robbery,7061,14
claims of negligence,unfair dismissal,7063,3
appeal against HR,discrimination,7065,9
Workplace harassment,appeal against HR,7067,10
Murder,Workplace harassment,7069,11
robbery,Murder,7071,11
dowry demands,theft,7073,13
robbery,cybercrime,7075,10
unfair dismissal,sedition,7077,3
theft,Property dispute,7079,3
cybercrime,marriage affairs,7081,10
sedition,Divorce,7083,10
Property dispute,Fraud,7085,5
Fraud,riots,7087,4
riots,claims of negligence,7089,4
marriage affairs,dowry demands,7091,5
Divorce,robbery,7093,3
claims of negligence,unfair dismissal,7095,8
appeal against HR,discrimination,7097,9
Workplace harassment,appeal against HR,7099,13
Murder,Workplace harassment,7101,5
robbery,Murder,7103,5
dowry demands,theft,7105,6
robbery,cybercrime,7107,10
unfair dismissal,sedition,7109,11
theft,Property dispute,7111,7
cybercrime,marriage affairs,7113,15
sedition,Divorce,7115,3
Property dispute,Fraud,7117,8
Fraud,riots,7119,5
riots,claims of negligence,7121,11
marriage affairs,dowry demands,7123,7
Divorce,robbery,7125,4
claims of negligence,unfair dismissal,7127,8
appeal against HR,discrimination,7129,11
Workplace harassment,appeal against HR,7131,9
Murder,Workplace harassment,7133,10
robbery,Murder,7135,4
dowry demands,theft,7137,3
robbery,cybercrime,7139,6
unfair dismissal,sedition,7141,6
theft,Property dispute,7143,6
cybercrime,marriage affairs,7145,7
sedition,Divorce,7147,6
Property dispute,Fraud,7149,15
Fraud,riots,7151,5
riots,claims of negligence,7153,13
marriage affairs,dowry demands,7155,8
Divorce,robbery,7157,5
claims of negligence,unfair dismissal,7159,6
appeal against HR,discrimination,7161,9
Workplace harassment,appeal against HR,7163,12
Murder,Workplace harassment,7165,13
robbery,Murder,7167,9
dowry demands,theft,7169,6
robbery,cybercrime,7171,6
unfair dismissal,sedition,7173,12
theft,Property dispute,7175,5
cybercrime,marriage affairs,7177,15
sedition,Divorce,7179,4
Property dispute,Fraud,7181,8
Fraud,riots,7183,6
riots,claims of negligence,7185,7
marriage affairs,dowry demands,7187,11
Divorce,robbery,7189,5
claims of negligence,unfair dismissal,7191,10
appeal against HR,discrimination,7193,13
Workplace harassment,appeal against HR,7195,5
Murder,Workplace harassment,7197,11
robbery,Murder,7199,6
dowry demands,theft,7201,11
robbery,cybercrime,7203,13
unfair dismissal,sedition,7205,14
theft,Property dispute,7207,11
cybercrime,marriage affairs,7209,15
sedition,Divorce,7211,8
Property dispute,Fraud,7213,8
Fraud,riots,7215,13
riots,claims of negligence,7217,3
marriage affairs,dowry demands,7219,4
Divorce,robbery,7221,10
claims of negligence,unfair dismissal,7223,9
appeal against HR,discrimination,7225,3
Workplace harassment,appeal against HR,7227,13
Murder,Workplace harassment,7229,11
robbery,Murder,7231,10
dowry demands,theft,7233,11
robbery,cybercrime,7235,11
unfair dismissal,sedition,7237,10
theft,Property dispute,7239,5
cybercrime,marriage affairs,7241,4
sedition,Divorce,7243,3
Property dispute,Fraud,7245,7
Fraud,riots,7247,15
riots,claims of negligence,7249,6
marriage affairs,dowry demands,7251,4
Divorce,robbery,7253,5
claims of negligence,unfair dismissal,7255,11
appeal against HR,discrimination,7257,4
Workplace harassment,appeal against HR,7259,7
Murder,Workplace harassment,7261,8
robbery,Murder,7263,11
dowry demands,theft,7265,6
robbery,cybercrime,7267,13
unfair dismissal,sedition,7269,4
theft,Property dispute,7271,13
cybercrime,marriage affairs,7273,4
sedition,Divorce,7275,12
Property dispute,Fraud,7277,8
Fraud,riots,7279,6
riots,claims of negligence,7281,9
marriage affairs,dowry demands,7283,5
Divorce,robbery,7285,4
claims of negligence,unfair dismissal,7287,9
appeal against HR,discrimination,7289,3
Workplace harassment,appeal against HR,7291,11
Murder,Workplace harassment,7293,5
robbery,Murder,7295,4
dowry demands,theft,7297,3
robbery,cybercrime,7299,9
unfair dismissal,sedition,7301,5
theft,Property dispute,7303,9
cybercrime,marriage affairs,7305,9
sedition,Divorce,7307,7
Property dispute,Fraud,7309,8
Fraud,riots,7311,6
riots,claims of negligence,7313,9
marriage affairs,dowry demands,7315,6
Divorce,robbery,7317,6
claims of negligence,unfair dismissal,7319,6
appeal against HR,discrimination,7321,7
Workplace harassment,appeal against HR,7323,10
Murder,Workplace harassment,7325,7
robbery,Murder,7327,11
dowry demands,theft,7329,11
robbery,cybercrime,7331,7
unfair dismissal,sedition,7333,6
theft,Property dispute,7335,15
cybercrime,marriage affairs,7337,5
sedition,Divorce,7339,8
Property dispute,Fraud,7341,4
Fraud,riots,7343,15
riots,claims of negligence,7345,8
marriage affairs,dowry demands,7347,11
Divorce,robbery,7349,10
claims of negligence,unfair dismissal,7351,10
appeal against HR,discrimination,7353,15
Workplace harassment,appeal against HR,7355,14
Murder,Workplace harassment,7357,9
robbery,Murder,7359,12
dowry demands,theft,7361,3
robbery,cybercrime,7363,11
unfair dismissal,sedition,7365,15
theft,Property dispute,7367,9
cybercrime,marriage affairs,7369,3
sedition,Divorce,7371,4
Property dispute,Fraud,7373,12
Fraud,riots,7375,12
riots,claims of negligence,7377,3
marriage affairs,dowry demands,7379,9
Divorce,robbery,7381,5
claims of negligence,unfair dismissal,7383,5
appeal against HR,discrimination,7385,13
Workplace harassment,appeal against HR,7387,5
Murder,Workplace harassment,7389,12
robbery,Murder,7391,7
dowry demands,theft,7393,6
robbery,cybercrime,7395,9
unfair dismissal,sedition,7397,9
theft,Property dispute,7399,4
cybercrime,marriage affairs,7401,11
sedition,Divorce,7403,12
Property dispute,Fraud,7405,15
Fraud,riots,7407,13
riots,claims of negligence,7409,5
marriage affairs,dowry demands,7411,13
Divorce,robbery,7413,9
claims of negligence,unfair dismissal,7415,6
appeal against HR,discrimination,7417,6
Workplace harassment,appeal against HR,7419,10
Murder,Workplace harassment,7421,14
robbery,Murder,7423,10
dowry demands,theft,7425,7
robbery,cybercrime,7427,12
unfair dismissal,sedition,7429,12
theft,Property dispute,7431,10
cybercrime,marriage affairs,7433,12
sedition,Divorce,7435,10
Property dispute,Fraud,7437,10
Fraud,riots,7439,6
riots,claims of negligence,7441,8
marriage affairs,dowry demands,7443,5
Divorce,robbery,7445,6
claims of negligence,unfair dismissal,7447,11
appeal against HR,discrimination,7449,4
Workplace harassment,appeal against HR,7451,4
Murder,Workplace harassment,7453,14
robbery,Murder,7455,10
dowry demands,theft,7457,14
robbery,cybercrime,7459,11
unfair dismissal,sedition,7461,10
theft,Property dispute,7463,14
cybercrime,marriage affairs,7465,3
sedition,Divorce,7467,8
Property dispute,Fraud,7469,3
Fraud,riots,7471,11
riots,claims of negligence,7473,7
marriage affairs,dowry demands,7475,9
Divorce,robbery,7477,4
claims of negligence,unfair dismissal,7479,3
appeal against HR,discrimination,7481,9
Workplace harassment,appeal against HR,7483,5
Murder,Workplace harassment,7485,15
robbery,Murder,7487,5
dowry demands,theft,7489,11
robbery,cybercrime,7491,6
unfair dismissal,sedition,7493,10
theft,Property dispute,7495,9
cybercrime,marriage affairs,7497,10
sedition,Divorce,7499,13
Property dispute,Fraud,7501,8
